2025-01-01T02:01:49.721662  17148	19.260	19.082	23.048	23.289	18.535	27.480	23.289	23.451	21.758	31.106	50.195	50.323	20.828	2375.634	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:01:50.921705  17149	19.018	19.075	22.645	23.209	18.454	27.399	23.370	23.692	21.516	30.945	50.215	50.242	20.747	2391.479	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:01:52.121898  17150	18.857	19.054	22.886	23.128	18.374	27.399	23.531	23.612	21.436	31.187	50.218	50.242	20.828	2445.974	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:01:53.321794  17151	19.099	19.058	22.967	23.209	18.374	27.319	23.370	23.612	21.597	31.348	50.229	50.161	20.909	2433.705	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:01:54.521833  17152	19.018	19.054	22.725	23.048	18.212	27.480	23.289	23.451	21.919	31.026	50.222	50.161	21.231	2443.439	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:01:55.721875  17153	19.099	19.059	22.806	23.128	18.374	27.319	23.209	23.531	21.678	30.945	50.232	50.161	21.070	2431.663	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:01:56.921983  17154	19.018	19.055	22.806	23.289	18.132	27.480	23.209	23.773	21.678	31.187	50.225	50.161	21.312	2441.522	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:01:58.121985  17155	19.099	19.059	22.645	23.128	18.535	27.399	23.289	23.773	21.597	31.106	50.235	50.242	21.392	2429.854	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:01:59.322130  17156	19.018	19.055	22.806	23.128	18.212	27.480	23.209	23.451	21.597	31.026	50.219	50.161	21.392	2439.810	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:00.522046  17157	19.018	19.051	22.645	23.209	18.051	27.480	23.209	23.773	21.678	30.945	50.221	50.081	21.392	2448.598	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:01.722219  17158	18.857	19.032	22.564	23.048	18.132	27.480	23.289	23.531	21.678	30.945	50.224	50.242	21.553	2497.223	0	0	0	0.00	-135.000	-135.000	225.000	36.527
